iter	Passed	Remaining
721	16445	6332
722	16472	6311
723	16496	6288
724	16519	6265
725	16543	6243
726	16567	6221
727	16590	6198
728	16613	6176
729	16637	6153
730	16659	6130
731	16682	6107
732	16704	6084
733	16728	6062
734	16751	6039
735	16774	6016
736	16798	5994
737	16822	5972
738	16846	5949
739	16871	5927
740	16895	5905
741	16918	5882
742	16941	5860
743	16964	5837
744	16985	5813
745	17007	5790
746	17029	5767
747	17052	5744
748	17075	5722
749	17098	5699
750	17122	5676
751	17143	5653
752	17166	5630
753	17187	5607
754	17209	5584
755	17232	5561
756	17254	5538
757	17277	5516
758	17299	5492
759	17320	5469
760	17344	5447
761	17368	5424
762	17392	5402
763	17415	5379
764	17448	5359
765	17474	5338
766	17496	5314
767	17517	5291
768	17540	5268
769	17561	5245
770	17584	5222
771	17605	5199
772	17626	5176
773	17650	5153
774	17673	5131
775	17695	5107
776	17717	5085
777	17740	5062
778	17761	5038
779	17784	5016
780	17805	4992
781	17827	4969
782	17850	4947
783	17873	4924
784	17898	4902
785	17921	4879
786	17944	4856
787	17965	4833
788	17988	4810
789	18010	4787
790	18032	4764
791	18055	4741
792	18079	4719
793	18107	4698
794	18146	4679
795	18175	4657
796	18198	4635
797	18226	4613
798	18252	4591
799	18277	4569
800	18299	4546
801	18325	4524
802	18351	4502
803	18376	4479
804	18400	4457
805	18445	4439
806	18476	4418
807	18505	4397
808	18531	4375
809	18555	4352
810	18580	4330
